#cell,        row,        col,           rocid,       slot,         ch,        bin,    txfiber,       txch,    rxrocid,    rxfiber,       rxch, global bin
(71,          4,         18, SBS_ECALVTP1_ROCID,          7,          7,          9,         -1,         -1,                 -1,         -1,         -1,          9),
(72,          5,          1, SBS_ECALVTP1_ROCID,          7,          8,          4,         -1,         -1,                 -1,         -1,         -1,          4),
(73,          5,          2, SBS_ECALVTP1_ROCID,          7,          9,          4,         -1,         -1,                 -1,         -1,         -1,          4),
(74,          5,          3, SBS_ECALVTP1_ROCID,          7,         10,          4,         -1,         -1,                 -1,         -1,         -1,          4),
(75,          5,          4, SBS_ECALVTP1_ROCID,          7,         11,          5,         -1,         -1,                 -1,         -1,         -1,          5),
(76,          5,          5, SBS_ECALVTP1_ROCID,          7,         12,          5,         -1,         -1,                 -1,         -1,         -1,          5),
(77,          5,          6, SBS_ECALVTP1_ROCID,          7,         13,          5,         -1,         -1,                 -1,         -1,         -1,          5),
(78,          5,          7, SBS_ECALVTP1_ROCID,          7,         14,          6,         -1,         -1,                 -1,         -1,         -1,          6),
(79,          5,          8, SBS_ECALVTP1_ROCID,          7,         15,          6,         -1,         -1,                 -1,         -1,         -1,          6),
(80,          5,          9, SBS_ECALVTP1_ROCID,          8,          0,          6,         -1,         -1,                 -1,         -1,         -1,          6),
(81,          5,         10, SBS_ECALVTP1_ROCID,          8,          1,          7,         -1,         -1,                 -1,         -1,         -1,          7),
(82,          5,         11, SBS_ECALVTP1_ROCID,          8,          2,          7,         -1,         -1,                 -1,         -1,         -1,          7),
(83,          5,         12, SBS_ECALVTP1_ROCID,          8,          3,          7,         -1,         -1,                 -1,         -1,         -1,          7),
(84,          5,         13, SBS_ECALVTP1_ROCID,          8,          4,          8,         -1,         -1,                 -1,         -1,         -1,          8),
(85,          5,         14, SBS_ECALVTP1_ROCID,          8,          5,          8,         -1,         -1,                 -1,         -1,         -1,          8),
(86,          5,         15, SBS_ECALVTP1_ROCID,          8,          6,          8,         -1,         -1,                 -1,         -1,         -1,          8),
(87,          5,         16, SBS_ECALVTP1_ROCID,          8,          7,          9,         -1,         -1,                 -1,         -1,         -1,          9),
(88,          5,         17, SBS_ECALVTP1_ROCID,          8,          8,          9,         -1,         -1,                 -1,         -1,         -1,          9),
(89,          5,         18, SBS_ECALVTP1_ROCID,          8,          9,          9,         -1,         -1,                 -1,         -1,         -1,          9),
(90,          6,          0, SBS_ECALVTP1_ROCID,          8,         10,         10,         -1,         -1,                 -1,         -1,         -1,         10),
(91,          6,          1, SBS_ECALVTP1_ROCID,          8,         11,         10,         -1,         -1,                 -1,         -1,         -1,         10),
(92,          6,          2, SBS_ECALVTP1_ROCID,          8,         12,         10,         -1,         -1,                 -1,         -1,         -1,         10),
(93,          6,          3, SBS_ECALVTP1_ROCID,          8,         13,         11,         -1,         -1,                 -1,         -1,         -1,         11),
(94,          6,          4, SBS_ECALVTP1_ROCID,          8,         14,         11,         -1,         -1,                 -1,         -1,         -1,         11),
