# ECalBin GEMLayer xMin xMax yMin yMax
39 1 nan nan nan nan
39 2 nan nan nan nan
39 3 nan nan nan nan
39 4 nan nan nan nan
39 5 nan nan nan nan
39 6 nan nan nan nan
39 7 nan nan nan nan
40 0 -0.25 0.05 -0.85 -0.55
40 1 -0.25 0 -0.85 -0.6
40 2 -0.25 0 -0.85 -0.65
40 3 -0.25 0.05 -0.85 -0.6
40 4 -0.25 0.05 -0.85 -0.7
40 5 -0.25 0.1 -0.85 -0.75
40 6 -0.3 0.05 -1.1 -0.75
40 7 -0.35 0.05 -1.1 -0.75
41 0 -0.25 0.1 -0.8 -0.5
41 1 -0.25 0.1 -0.85 -0.55
41 2 -0.25 0.1 -0.85 -0.6
41 3 -0.25 0.05 -0.85 -0.65
41 4 -0.25 0.1 -0.85 -0.65
41 5 -0.25 0.15 -0.85 -0.65
41 6 -0.25 0.1 -1 -0.7
41 7 -0.3 0.1 -1.05 -0.75
42 0 -0.25 0.15 -0.75 -0.45
42 1 -0.25 0.15 -0.75 -0.5
42 2 -0.25 0.15 -0.85 -0.5
42 3 -0.25 0.15 -0.85 -0.55
42 4 -0.25 0.15 -0.85 -0.6
42 5 -0.2 0.15 -0.85 -0.6
42 6 -0.2 0.15 -0.95 -0.65
42 7 -0.25 0.15 -1 -0.65
43 0 -0.15 0.15 -0.7 -0.4
43 1 -0.15 0.2 -0.7 -0.45
43 2 -0.15 0.2 -0.75 -0.4
43 3 -0.15 0.2 -0.8 -0.5
43 4 -0.15 0.2 -0.8 -0.5
43 5 -0.15 0.25 -0.85 -0.55
43 6 -0.15 0.2 -0.85 -0.55
43 7 -0.15 0.2 -0.85 -0.6
44 0 -0.1 0.25 -0.65 -0.4
44 1 -0.1 0.25 -0.65 -0.4
44 2 -0.1 0.25 -0.7 -0.4
44 3 -0.1 0.25 -0.7 -0.45
44 4 -0.15 0.25 -0.75 -0.45
44 5 -0.1 0.25 -0.75 -0.5
44 6 -0.15 0.3 -0.85 -0.5
44 7 -0.1 0.25 -0.8 -0.5
45 0 -0.1 0.25 -0.6 -0.35
45 1 -0.1 0.25 -0.65 -0.4
45 2 -0.05 0.25 -0.65 -0.4
45 3 -0.1 0.25 -0.7 -0.4
45 4 -0.05 0.25 -0.7 -0.45
45 5 -0.1 0.25 -0.7 -0.45
45 6 -0.1 0.3 -0.8 -0.5
45 7 -0.05 0.35 -0.85 -0.5
46 0 0 0.25 -0.6 -0.3
46 1 -0.05 0.25 -0.6 -0.35
46 2 0 0.25 -0.6 -0.35
46 3 0 0.25 -0.65 -0.35
46 4 0 0.25 -0.65 -0.4
46 5 0 0.25 -0.7 -0.45
46 6 0 0.3 -0.7 -0.4
46 7 0 0.35 -0.75 -0.45
47 0 0 0.25 -0.55 -0.3
47 1 0.05 0.25 -0.6 -0.3
47 2 0 0.25 -0.6 -0.35
47 3 0.05 0.25 -0.65 -0.35
47 4 0.05 0.25 -0.7 -0.4
47 5 0.05 0.25 -0.75 -0.4
47 6 0.05 0.35 -0.75 -0.4
47 7 0 0.35 -0.75 -0.45
48 0 nan nan nan nan
48 1 nan nan nan nan
48 2 nan nan nan nan
48 3 nan nan nan nan
48 4 nan nan nan nan
48 5 nan nan nan nan
48 6 nan nan nan nan
48 7 nan nan nan nan
49 0 nan nan nan nan
49 1 nan nan nan nan
49 2 nan nan nan nan
49 3 nan nan nan nan
49 4 nan nan nan nan
49 5 nan nan nan nan
49 6 nan nan nan nan
49 7 nan nan nan nan
50 0 -0.25 0 -0.85 -0.5
50 1 -0.25 0 -0.85 -0.55
50 2 -0.25 0 -0.85 -0.6
50 3 -0.25 0 -0.85 -0.6
50 4 -0.25 0 -0.85 -0.65
50 5 -0.25 0 -0.85 -0.65
50 6 -0.3 0 -1.05 -0.65
50 7 -0.3 0 -1.1 -0.75
51 0 -0.25 0.05 -0.75 -0.5
51 1 -0.25 0.05 -0.75 -0.5
51 2 -0.25 0.05 -0.85 -0.5
51 3 -0.25 0.05 -0.85 -0.6
51 4 -0.25 0.05 -0.85 -0.5
51 5 -0.25 0.05 -0.85 -0.6
51 6 -0.3 0.1 -0.95 -0.65
51 7 -0.3 0.1 -1.05 -0.7
52 0 -0.25 0.1 -0.7 -0.45
52 1 -0.25 0.1 -0.75 -0.45
52 2 -0.25 0.15 -0.75 -0.45
52 3 -0.25 0.15 -0.8 -0.5
52 4 -0.25 0.15 -0.85 -0.5
52 5 -0.25 0.1 -0.8 -0.55
52 6 -0.3 0.15 -0.9 -0.55
52 7 -0.3 0.1 -0.95 -0.6
53 0 -0.2 0.15 -0.65 -0.4
53 1 -0.2 0.15 -0.65 -0.4
53 2 -0.25 0.15 -0.7 -0.45
53 3 -0.2 0.15 -0.7 -0.45
53 4 -0.25 0.15 -0.75 -0.45
53 5 -0.2 0.15 -0.8 -0.5
53 6 -0.2 0.25 -0.8 -0.45
53 7 -0.25 0.2 -0.9 -0.55
54 0 -0.15 0.25 -0.6 -0.35
54 1 -0.15 0.2 -0.6 -0.35
54 2 -0.15 0.2 -0.65 -0.4
54 3 -0.15 0.2 -0.7 -0.45
54 4 -0.15 0.2 -0.7 -0.45
54 5 -0.15 0.2 -0.75 -0.4
54 6 -0.15 0.2 -0.8 -0.5
54 7 -0.15 0.2 -0.85 -0.45
55 0 -0.1 0.25 -0.6 -0.3
55 1 -0.1 0.25 -0.6 -0.35
55 2 -0.1 0.25 -0.6 -0.35
55 3 -0.1 0.25 -0.65 -0.4
55 4 -0.1 0.25 -0.65 -0.35
55 5 -0.1 0.25 -0.75 -0.45
55 6 -0.2 0.3 -0.75 -0.4
55 7 -0.1 0.3 -0.8 -0.45
56 0 -0.05 0.25 -0.55 -0.3
56 1 -0.05 0.25 -0.55 -0.3
56 2 -0.05 0.25 -0.6 -0.3
56 3 -0.05 0.25 -0.6 -0.35
56 4 0 0.25 -0.6 -0.35
56 5 -0.05 0.25 -0.65 -0.35
56 6 0 0.3 -0.7 -0.4
56 7 -0.05 0.35 -0.7 -0.4
57 0 0 0.25 -0.55 -0.25
57 1 0 0.25 -0.55 -0.25
57 2 0 0.25 -0.6 -0.3
57 3 0 0.25 -0.6 -0.35
57 4 0 0.25 -0.6 -0.35
57 5 -0.05 0.25 -0.6 -0.35
57 6 -0.05 0.3 -0.65 -0.4
57 7 0 0.35 -0.7 -0.4
58 0 0.05 0.25 -0.5 -0.25
58 1 0.05 0.25 -0.55 -0.25
58 2 0.05 0.25 -0.55 -0.3
58 3 0.05 0.25 -0.55 -0.3
58 4 0.05 0.25 -0.6 -0.2
58 5 0.05 0.25 -0.6 -0.25
58 6 0.05 0.3 -0.65 -0.35
58 7 0.05 0.35 -0.7 -0.3
59 0 nan nan nan nan
59 1 nan nan nan nan
59 2 nan nan nan nan
59 3 nan nan nan nan
59 4 nan nan nan nan
59 5 nan nan nan nan
59 6 nan nan nan nan
59 7 nan nan nan nan
60 0 -0.25 -0.05 -0.8 -0.45
60 1 -0.25 -0.05 -0.8 -0.5
60 2 -0.25 -0.05 -0.85 -0.5
60 3 -0.25 -0.05 -0.85 -0.5
60 4 -0.25 -0.05 -0.85 -0.55
60 5 -0.25 0 -0.85 -0.6
60 6 -0.3 -0.1 -1 -0.55
60 7 -0.35 -0.1 -1.05 -0.6
61 0 -0.25 0.05 -0.65 -0.4
61 1 -0.25 0.05 -0.7 -0.45
61 2 -0.25 0 -0.85 -0.45
61 3 -0.25 0 -0.85 -0.5
61 4 -0.25 0 -0.85 -0.5
61 5 -0.25 0.1 -0.85 -0.55
61 6 -0.35 0 -0.85 -0.55
61 7 -0.3 0.05 -0.9 -0.6
62 0 -0.25 0.05 -0.6 -0.35
62 1 -0.25 0.1 -0.65 -0.4
62 2 -0.25 0.1 -0.7 -0.35
62 3 -0.25 0.05 -0.75 -0.45
62 4 -0.25 0.15 -0.75 -0.4
62 5 -0.25 0.1 -0.8 -0.45
62 6 -0.3 0.05 -0.8 -0.5
62 7 -0.3 0.05 -0.85 -0.5
63 0 -0.25 0.1 -0.6 -0.35
63 1 -0.25 0.15 -0.6 -0.35
63 2 -0.25 0.1 -0.65 -0.4
63 3 -0.25 0.15 -0.65 -0.4
63 4 -0.25 0.1 -0.7 -0.45
63 5 -0.25 0.15 -0.7 -0.45
63 6 -0.3 0.15 -0.75 -0.4
63 7 -0.25 0.15 -0.75 -0.4
64 0 -0.2 0.15 -0.55 -0.3
64 1 -0.25 0.15 -0.6 -0.35
64 2 -0.2 0.15 -0.6 -0.35
64 3 -0.2 0.2 -0.65 -0.35
64 4 -0.2 0.2 -0.65 -0.4
64 5 -0.25 0.2 -0.75 -0.4
64 6 -0.2 0.2 -0.75 -0.45
64 7 -0.2 0.25 -0.8 -0.4
65 0 -0.15 0.2 -0.55 -0.3
65 1 -0.15 0.2 -0.55 -0.3
65 2 -0.1 0.25 -0.6 -0.3
65 3 -0.15 0.25 -0.6 -0.3
65 4 -0.1 0.25 -0.6 -0.35
65 5 -0.15 0.2 -0.65 -0.4
65 6 -0.1 0.25 -0.75 -0.4
65 7 -0.15 0.2 -0.7 -0.4
66 0 -0.1 0.25 -0.5 -0.25
66 1 -0.05 0.25 -0.5 -0.25
66 2 -0.1 0.25 -0.55 -0.3
66 3 -0.1 0.25 -0.55 -0.3
66 4 -0.1 0.25 -0.6 -0.35
66 5 -0.05 0.25 -0.6 -0.35
66 6 -0.1 0.3 -0.65 -0.35
66 7 -0.05 0.35 -0.65 -0.35
67 0 -0.05 0.25 -0.45 -0.15
67 1 -0.05 0.25 -0.5 -0.25
67 2 -0.05 0.25 -0.5 -0.25
67 3 -0.05 0.25 -0.55 -0.3
67 4 0 0.25 -0.55 -0.3
67 5 -0.05 0.25 -0.55 -0.3
67 6 0 0.35 -0.6 -0.3
67 7 0 0.35 -0.65 -0.25
68 0 0 0.25 -0.5 -0.1
68 1 0 0.25 -0.5 -0.1
68 2 0.05 0.25 -0.55 -0.25
68 3 0.05 0.25 -0.55 -0.15
68 4 0.05 0.25 -0.55 -0.25
68 5 0.05 0.25 -0.6 -0.2
68 6 0.05 0.35 -0.6 -0.2
68 7 0.05 0.35 -0.65 -0.2
69 0 nan nan nan nan
69 1 nan nan nan nan
69 2 nan nan nan nan
69 3 nan nan nan nan
69 4 nan nan nan nan
69 5 nan nan nan nan
69 6 nan nan nan nan
69 7 nan nan nan nan
70 0 -0.3 -0.05 -0.8 -0.4
70 1 -0.25 -0.05 -0.65 -0.4
70 2 -0.25 -0.1 -0.7 -0.45
70 3 -0.25 -0.05 -0.7 -0.45
70 4 -0.25 -0.1 -0.75 -0.45
70 5 -0.25 -0.1 -0.8 -0.5
70 6 -0.3 -0.1 -0.8 -0.55
70 7 -0.3 -0.1 -0.85 -0.55
71 0 -0.25 0 -0.6 -0.35
71 1 -0.25 0 -0.65 -0.35
71 2 -0.25 0 -0.65 -0.35
71 3 -0.25 -0.05 -0.7 -0.4
71 4 -0.25 -0.05 -0.7 -0.4
71 5 -0.25 -0.05 -0.8 -0.4
71 6 -0.3 -0.05 -0.8 -0.45
71 7 -0.35 0.1 -1 -0.4
72 0 -0.25 0.05 -0.55 -0.3
72 1 -0.25 0.05 -0.6 -0.3
72 2 -0.25 0.05 -0.6 -0.3
72 3 -0.25 0.05 -0.65 -0.35
72 4 -0.25 0.05 -0.7 -0.4
72 5 -0.25 0.05 -0.7 -0.35
72 6 -0.3 0.05 -0.75 -0.4
72 7 -0.3 0.05 -0.75 -0.4
73 0 -0.25 0.1 -0.55 -0.3
73 1 -0.25 0.1 -0.55 -0.25
73 2 -0.25 0.1 -0.55 -0.3
73 3 -0.25 0.1 -0.6 -0.35
73 4 -0.25 0.1 -0.7 -0.35
73 5 -0.25 0.1 -0.65 -0.35
73 6 -0.3 0.1 -0.8 -0.35
73 7 -0.3 0.15 -0.75 -0.4
74 0 -0.2 0.15 -0.5 -0.25
74 1 -0.2 0.15 -0.5 -0.3
74 2 -0.2 0.15 -0.55 -0.25
74 3 -0.25 0.15 -0.55 -0.25
74 4 -0.2 0.2 -0.6 -0.2
74 5 -0.2 0.15 -0.65 -0.35
74 6 -0.25 0.15 -0.7 -0.3
74 7 -0.2 0.15 -0.75 -0.4
75 0 -0.15 0.2 -0.45 -0.2
75 1 -0.15 0.2 -0.5 -0.25
75 2 -0.15 0.2 -0.5 -0.25
75 3 -0.15 0.2 -0.6 -0.25
75 4 -0.15 0.2 -0.55 -0.3
75 5 -0.15 0.2 -0.6 -0.3
75 6 -0.2 0.2 -0.6 -0.35
75 7 -0.15 0.25 -0.65 -0.35
76 0 -0.1 0.25 -0.45 -0.2
76 1 -0.1 0.25 -0.45 -0.2
76 2 -0.1 0.25 -0.5 -0.25
76 3 -0.1 0.25 -0.5 -0.25
76 4 -0.1 0.25 -0.55 -0.3
76 5 -0.1 0.25 -0.55 -0.3
76 6 -0.1 0.25 -0.55 -0.3
76 7 -0.1 0.3 -0.6 -0.35
77 0 -0.05 0.25 -0.45 -0.2
77 1 -0.05 0.25 -0.45 -0.2
77 2 -0.05 0.25 -0.45 -0.2
77 3 -0.05 0.25 -0.5 -0.25
77 4 -0.05 0.25 -0.5 -0.2
77 5 -0.05 0.25 -0.5 -0.2
77 6 -0.05 0.3 -0.55 -0.3
77 7 -0.05 0.35 -0.55 -0.25
78 0 0 0.25 -0.4 -0.1
78 1 0 0.25 -0.5 -0.1
78 2 0 0.25 -0.45 -0.2
78 3 0 0.25 -0.45 -0.2
78 4 0 0.25 -0.5 -0.2
78 5 0 0.25 -0.5 -0.25
78 6 0.05 0.35 -0.55 -0.15
78 7 0.05 0.35 -0.55 -0.2
79 0 nan nan nan nan
79 1 nan nan nan nan
79 2 nan nan nan nan
79 3 nan nan nan nan
79 4 nan nan nan nan
79 5 nan nan nan nan
79 6 nan nan nan nan
79 7 nan nan nan nan
80 0 -0.25 -0.1 -0.55 -0.3
80 1 0.1 0.25 0 0.2
80 2 -0.25 -0.1 -0.6 -0.4
80 3 -0.25 -0.1 -0.65 -0.45
80 4 -0.25 -0.1 -0.65 -0.45
80 5 nan nan nan nan
80 6 -0.3 -0.15 -0.7 -0.45
80 7 -0.3 -0.15 -0.75 -0.45
81 0 -0.25 0 -0.55 -0.25
81 1 -0.25 -0.05 -0.55 -0.25
81 2 -0.25 -0.05 -0.6 -0.3
81 3 -0.25 -0.05 -0.6 -0.3
81 4 -0.25 0.05 -0.65 -0.3
81 5 -0.25 -0.05 -0.7 -0.35
81 6 -0.3 -0.05 -0.7 -0.35
81 7 -0.35 -0.05 -0.8 -0.4
82 0 -0.25 0 -0.5 -0.25
82 1 -0.25 0.05 -0.55 -0.25
82 2 -0.25 0 -0.55 -0.3
82 3 -0.25 0.05 -0.55 -0.3
82 4 -0.25 0 -0.65 -0.3
82 5 -0.25 0 -0.6 -0.3
82 6 -0.3 0.05 -0.65 -0.3
82 7 -0.35 0 -0.65 -0.35
83 0 -0.25 0.1 -0.45 -0.2
83 1 -0.25 0.1 -0.5 -0.25
83 2 -0.25 0.1 -0.55 -0.2
83 3 -0.25 0.1 -0.65 -0.25
83 4 -0.25 0.1 -0.55 -0.25
83 5 -0.25 0.1 -0.65 -0.3
83 6 -0.3 0.1 -0.75 -0.35
83 7 -0.3 0.1 -0.6 -0.35
84 0 -0.25 0.15 -0.45 -0.15
84 1 -0.25 0.15 -0.45 -0.2
84 2 -0.25 0.15 -0.5 -0.25
84 3 -0.25 0.15 -0.5 -0.2
84 4 -0.25 0.15 -0.55 -0.2
84 5 -0.25 0.15 -0.55 -0.25
84 6 -0.25 0.15 -0.6 -0.25
84 7 -0.3 0.15 -0.6 -0.25
85 0 -0.15 0.2 -0.4 -0.2
85 1 -0.15 0.2 -0.45 -0.2
85 2 -0.15 0.2 -0.45 -0.2
